Date,Forecast
2025-12-24,87556.87877979125
2025-12-25,87038.96510679256
2025-12-26,86454.93457848966
2025-12-27,82903.02033836038
2025-12-28,81086.2816317996
2025-12-29,81051.43189197141
2025-12-30,81172.283080217
2025-12-31,81011.27653910917
2026-01-01,81433.52777425679
2026-01-02,81263.56806194011
2026-01-03,81193.06670904202
2026-01-04,81176.2630574126
2026-01-05,81304.2577488482
2026-01-06,81570.22675864074
2026-01-07,81444.83821460491
2026-01-08,82489.83484815148
2026-01-09,82329.24588309295
2026-01-10,84438.47691518618
2026-01-11,86182.5596592505
2026-01-12,86896.17551309588
2026-01-13,88784.45762163207
2026-01-14,88554.24221664852
2026-01-15,88429.21573658404
2026-01-16,89002.63704147113
2026-01-17,88874.84900879282
2026-01-18,89274.50224573044
2026-01-19,90097.91912917906
2026-01-20,90498.44675554284
2026-01-21,91859.25509595156
2026-01-22,92186.06042065255
